Surah,Ayah,Text,Label
1,1,"In the name of Allah, Most Gracious, Most Merciful.",['aqidah']
1,2,"Praise be to Allah, the Cherisher and Sustainer of the worlds;","['aqidah', 'syariah']"
1,3,"Most Gracious, Most Merciful;",['aqidah']
1,4,Master of the Day of Judgment.,['aqidah']
1,5,"Thee do we worship, and Thine aid we seek.","['aqidah', 'akhlak']"
1,6,"Show us the straight way,","['aqidah', 'syariah']"
1,7,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.","['aqidah', 'syariah']"
1,64,,['kisah']
2,1,A. L. M.,['aqidah']
2,2,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;","['aqidah', 'akhlak']"
2,3,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;","['aqidah', 'alam-ghaib']"
2,4,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.","['aqidah', 'alam-akhirat']"
2,5,"They are on (true) guidance, from their Lord, and it is these who will prosper.",['aqidah']
2,6,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",['aqidah']
2,7,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",['aqidah']
2,8,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.","['aqidah', 'alam-dunia']"
2,9,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",['aqidah']
2,10,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",['aqidah']
2,11,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""","['aqidah', 'akhlak', 'alam-dunia']"
2,12,"Of a surety, they are the ones who make mischief, but they realise (it) not.","['aqidah', 'alam-dunia']"
2,13,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",['aqidah']
2,14,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",['aqidah']
2,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",['aqidah']
2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,","['aqidah', 'syariah']"
2,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.","['aqidah', 'ilmu']"
2,18,"Deaf, dumb, and blind, they will not return (to the path).","['aqidah', 'alam-dunia']"
2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!","['aqidah', 'alam-dunia']"
2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",['aqidah']
2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;","['aqidah', 'alam-dunia']"
2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).","['aqidah', 'ilmu', 'alam-dunia']"
2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",['aqidah']
2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",['alam-akhirat']
2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).","['aqidah', 'akhlak', 'alam-dunia', 'alam-akhirat']"
2,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-","['aqidah', 'akhlak', 'ilmu', 'alam-dunia']"
2,27,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",['alam-dunia']
2,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.","['aqidah', 'alam-akhirat']"
2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.","['aqidah', 'ilmu', 'alam-dunia']"
2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""","['aqidah', 'syariah', 'ilmu', 'kisah', 'alam-dunia', 'alam-ghaib']"
2,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""","['aqidah', 'kisah', 'alam-ghaib']"
2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""","['aqidah', 'kisah']"
2,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",['kisah']
2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.","['aqidah', 'kisah', 'alam-ghaib']"
2,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""","['syariah', 'kisah']"
2,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""","['kisah', 'alam-dunia', 'alam-ghaib']"
2,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.","['aqidah', 'kisah']"
2,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",['kisah']
2,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",['alam-akhirat']
2,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.","['syariah', 'kisah']"
