,source,target
0,name,allah
1,allah,gracious
2,gracious,merciful
3,praise,allah
4,allah,cherisher
5,cherisher,sustainer
6,sustainer,worlds
7,gracious,merciful
8,master,day
9,day,judgment
10,thee,worship
11,worship,thine
12,thine,aid
13,aid,seek
14,show,us
15,us,straight
16,straight,way
17,way,thou
18,thou,hast
19,hast,bestowed
20,bestowed,thy
21,thy,grace
22,grace,whose
23,whose,portion
24,portion,wrath
25,wrath,go
26,go,astray
27,book,guidance
28,guidance,sure
29,sure,without
30,without,doubt
31,doubt,fear
32,fear,allah
33,believe,unseen
34,unseen,steadfast
35,steadfast,prayer
36,prayer,spend
37,spend,provided
38,believe,revelation
39,revelation,sent
40,sent,thee
41,thee,sent
42,sent,thy
43,thy,time
44,time,hearts
45,hearts,assurance
46,assurance,hereafter
47,true,guidance
48,guidance,lord
49,lord,prosper
50,reject,faith
51,faith,whether
52,whether,thou
53,thou,warn
54,warn,warn
55,warn,believe
56,allah,hath
57,hath,setseal
58,setseal,hearts
59,hearts,hearing
60,hearing,eyes
61,eyes,isveil
62,isveil,great
63,great,penalty
64,penalty,incur
65,people,say
66,say,believe
67,believe,allah
68,allah,last
69,last,day
70,day,really
71,really,believe
72,fain,would
73,would,deceive
74,deceive,allah
75,allah,believe
76,believe,deceive
77,deceive,realise
78,hearts,isdisease
79,isdisease,allah
80,allah,increased
81,increased,disease
82,disease,grievous
83,grievous,penalty
84,penalty,incur
85,incur,false
86,said,make
87,make,mischief
88,mischief,earth
89,earth,say
90,say,want
91,want,make
92,make,peace
93,ofsurety,ones
94,ones,make
95,make,mischief
96,mischief,realise
97,said,believe
98,believe,others
99,others,believe
100,believe,say
101,say,shall
102,shall,believe
103,believe,fools
104,fools,believe
105,believe,nay
106,nay,ofsurety
107,ofsurety,fools
108,fools,know
109,meet,believe
110,believe,say
111,say,believe
112,believe,alone
113,alone,evil
114,evil,ones
115,ones,say
116,say,really
117,really,jesting
118,allah,throw
119,throw,back
120,back,mockery
121,mockery,give
122,give,rope
123,rope,trespasses
124,trespasses,wander
125,wander,like
126,like,blind
127,blind,ones
128,ones,fro
129,bartered,guidance
130,guidance,error
131,error,traffic
132,traffic,profitless
133,profitless,lost
134,lost,true
135,true,direction
136,similitude,ofman
137,ofman,kindledfire
138,kindledfire,lighted
139,lighted,around
