itemID,title,author,publisher,main topic,subtopics,click,basket,order
21310,Princess Poppy: The Big Mix Up,Janey Louise Jones,Penguin Random House Children's UK,YFB,[5AH],3.0,0.0,0.0
73018,Einfach zeichnen! Step by Step,Wiebke Krabbe,Schwager und Steinlein,AGZ,"[5AJ,AGZ,WFA,YBG,YBL,YNA,YPA]",75.0,5.0,1.0
19194,Red Queen 1,Victoria Aveyard,Orion Publishing Group,YFH,"[5AP,FBA]",217.0,13.0,1.0
46107,Mein großes Schablonen-Buch - Wilde Tiere,Elizabeth Golding,Edition Michael Fischer,WFTM,"[WD,WFTM,YBG,YBL,YBLD,YBLN1]",47.0,3.0,1.0
34217,Ewig geliebt,J. R. Ward,Heyne Taschenbuch,FMR,"[1KBB-US-NAK,FMX,FRX,3MRBF]",92.0,2.0,0.0
14576,Unsterblich 01 - Tor der Dämmerung,Julie Kagawa,Heyne Taschenbuch,YFE,"[5AQ,FM,YFE,YFH]",32.0,2.0,4.0
17731,Unsterblich 02 - Tor der Nacht,Julie Kagawa,Heyne Taschenbuch,YFH,"[5AQ,FM,YFE,YFH]",21.0,2.0,1.0
58723,Pedro und die Bettler von Cartagena,Ursula Hasler,dtv Verlagsgesellschaft,YFB,"[5AM,1KLSC]",8.0,0.0,4.0
33976,Die Haushörerin,Anna Lummfeld,Books on Demand,FMR,"[1DFG-DE-VH,FMR,FMX,FRD]",8.0,0.0,0.0
2408,Reiter der schwarzen Sonne,Swen Harder,Mantikore Verlag,FMB,"[5AN,WDHW]",19.0,1.0,1.0
30277,WAS IST WAS Quiz Autos,Lorena Lehnert,Tessloff Verlag,YNV,"[5AJ,YBL]",7.0,1.0,0.0
29508,WAS IST WAS Quiz Länder der Welt,Carolin Langbein,Tessloff Verlag,YNV,"[5AJ,YBL]",6.0,3.0,2.0
75659,WAS IST WAS Quiz Fußball,Lorena Lehnert,Tessloff Verlag,YNWD1,"[5AJ,2ACG,SFBC,WDKX,YBL,YNVP,YZG]",4.0,1.0,0.0
55699,Spring in eine Pfütze! Mein perfekter Frühling/ Mein perfekter Sommer. Wendebuch,ViktoriaSarina,CE Community Editions,YNVP,"[YBG,YBL,YNVP,YZS]",1093.0,212.0,65.0
62433,Und dann kamst du,Heike Abidi,Oetinger Taschenbuch GmbH,YXHL,"[5AQ,5JA,DND,YFM,YXHL]",6.0,0.0,0.0
72603,"Ich hab einen Freund, der ist Astronaut",Ralf Butschkow,Carlsen Verlag GmbH,YBCS,"[5AC,4CA,YBL,YF,YNK,YNMH,YNNZ,YNTR]",18.0,2.0,3.0
11989,Vampire Academy 06,Richelle Mead,LYX,FMR,"[5AQ,FMB,FMR,FMX,FRT]",5.0,1.0,1.0
11117,Vampire Academy - Schattenträume,Richelle Mead,LYX,FMR,"[5AQ,FMR,FMX,FRD,FRT]",9.0,1.0,2.0
73865,Wir spielen Kasperltheater,Peter Mitschitczek,Perlen-Reihe,ATDH,"[5AC,WDM,YBL,YND]",1.0,0.0,1.0
15581,Der Herr der Ringe,J. R. R. Tolkien,Klett-Cotta Verlag,FMB,"[FYT,YFH]",610.0,27.0,8.0
4892,Harry Potter 4 and the Goblet of Fire,Joanne K. Rowling,Bloomsbury UK,YFH,[5AK],206.0,39.0,18.0
63847,A Vow So Bold and Deadly,Brigid Kemmerer,Bloomsbury UK,YFHR,[YFM],121.0,17.0,1.0
3106,Kiss Me Never (Crushed-Trust-Reihe 1),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]",58.0,4.0,0.0
4283,Hold Me Tonight (Crushed-Trust-Reihe 2),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]",23.0,0.0,0.0
54393,Picklewitch & Jack and the Cuckoo Cousin,Claire Barker,Faber & Faber,YFH,"[5AF,YFQ,YFS]",4.0,0.0,0.0
6942,Mein Wisch-und-weg-Buch: Großbuchstaben,Jessica Greenwell,Usborne Verlag,YBG,"[5AF,YBL]",160.0,23.0,4.0
23197,Nichts,Janne Teller,dtv Verlagsgesellschaft,YFS,"[5AQ,1DND,YFB,YFS]",277.0,58.0,24.0
2417,A Court of Thorns and Roses. Acotar Adult Edition,Sarah J. Maas,Bloomsbury UK,YFH,[FMR],468.0,53.0,7.0
57800,Das Schwert der Vorsehung,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FYB,FYT]",246.0,53.0,34.0
11525,Zeit des Sturms,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FMB,FYT,3KLN]",214.0,41.0,24.0
12143,The Testaments,Margaret Atwood,Random House LCC US,FDB,"[FB,FL]",110.0,0.0,2.0
62630,The Night Parade,Kathryn Tanquary,SOURCEBOOKS JABBERWOCKY,YFH,"[1F,YFJ]",2.0,0.0,0.0
25330,"Viele Grüße, Deine Giraffe!",Megumi Iwasa,Moritz Verlag-GmbH,YBCS,[YF],7.0,1.0,0.0
5368,Winter Stories,Enid Blyton,Hachette Children's  Book,YFA,"[5AH,5HPD,4CD,YFH,YFJ,YFU]",6.0,1.0,0.0
46998,Goldene Flammen,Leigh Bardugo,Knaur Taschenbuch,FMB,"[FBA,FMB,FMR,FYT]",1749.0,188.0,18.0
2253,Eisige Wellen,Leigh Bardugo,Knaur Taschenbuch,FBA,"[FBA,FMB,FMR,FYT]",630.0,107.0,21.0
53706,Mats & Milad,Eva Rottmann,Jacoby & Stuart,YF,[YX],19.0,0.0,0.0
26528,Ace of Shades,Amanda Foody,INKYARD PR,YFCF,[YFH],16.0,0.0,0.0
7464,LEGO® NINJAGO® Das große Ninja-Lexikon,"Arie Kaplan, Hannah Dolan",Dorling Kindersley Verlag,YNVD,"[5AG,ATF,YBL,YNF,YNP,YNVD,YRG,YZG]",211.0,29.0,13.0
30953,Brian Froud's Faeries' Tales,"Wendy Froud, Brian Froud",ABRAMS,FM,[FN],16.0,0.0,0.0
